Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9	Copy_10	Copy_11	Copy_12	Copy_13	Copy_14	Copy_15	Copy_16	Copy_17	Copy_18	Copy_19	Copy_20	Copy_21	Copy_22	Copy_23	Copy_24	Copy_25	Copy_26	Copy_27
1	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
2	True	True	False	True	True	True	True	False	False	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	True	True	True
3	False	False	True	True	False	False	True	True	True	False	False	True	False	True	True	False	True	False	False	False	True	False	True	False	True	True	False
5	False	True	True	False	True	False	False	True	False	False	True	True	True	False	False	True	False	True	True	False	False	False	True	False	False	True	False
9	True	True	False	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True
12	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True
13	True	False	False	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
14	False	False	False	True	False	True	False	True	True	False	True	False	True	True	True	True	True	False	True	False	False	True	False	False	False	False	False
16	False	False	False	True	True	False	False	False	True	False	True	False	True	True	False	True	False	False	True	False	False	False	False	True	False	False	True
20	False	False	False	True	True	False	True	True	False	True	False	True	True	True	False	True	True	True	True	True	True	True	True	False	True	True	True
