Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9	Copy_10	Copy_11	Copy_12	Copy_13	Copy_14	Copy_15	Copy_16
1	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
2	True	False	True	True	True	True	False	True	True	True	True	True	True	False	True	False
3	False	False	False	False	True	True	True	False	True	False	False	True	True	True	True	True
5	True	True	False	False	True	False	True	False	True	True	False	False	False	False	True	False
9	False	True	True	True	True	True	True	True	True	True	True	True	True	False	False	False
12	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True
13	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False
14	False	False	False	True	False	True	False	True	False	False	False	False	True	False	True	False
16	False	False	False	False	False	False	False	False	True	False	False	True	False	True	False	True
20	True	True	True	False	False	True	True	True	False	True	True	True	True	True	True	True
